git	1:2.53.0-1ubuntu1	amd64
git-man	1:2.53.0-1ubuntu1	all
glib-networking-common	2.80.1-1build2	all
glib-networking-services	2.80.1-1build2	amd64
glib-networking:amd64	2.80.1-1build2	amd64
glycin-loaders	2.1.1+ds-0ubuntu1	amd64
glycin-thumbnailers	2.1.1+ds-0ubuntu1	amd64
gnome-accessibility-themes	3.28-5	all
gnome-themes-extra-data	3.28-5	all
gnome-themes-extra:amd64	3.28-5	amd64
gnu-coreutils	9.7-3ubuntu2	amd64
gnupg	2.4.8-4ubuntu3	all
gnupg-l10n	2.4.8-4ubuntu3	all
gnupg-utils	2.4.8-4ubuntu3	amd64
google-chrome-stable	148.0.7778.215-1	amd64
gpg	2.4.8-4ubuntu3	amd64
gpg-agent	2.4.8-4ubuntu3	amd64
gpg-wks-client	2.4.8-4ubuntu3	amd64
gpgconf	2.4.8-4ubuntu3	amd64
gpgsm	2.4.8-4ubuntu3	amd64
gpgv	2.4.8-4ubuntu3	amd64
grep	3.12-1	amd64
groff-base	1.23.0-10	amd64
grub-efi-amd64	2.14-2ubuntu1	amd64
grub-efi-amd64-bin	2.14-2ubuntu1	amd64
grub-efi-amd64-signed	1.215+2.14-2ubuntu1	amd64
grub-efi-amd64-unsigned	2.14-2ubuntu1	amd64
grub-pc	2.14-2ubuntu2	amd64
grub2-common	2.14-2ubuntu2	amd64
gsettings-desktop-schemas	50.0-1ubuntu2	all
gstreamer1.0-gl:amd64	1.28.2-1	amd64
gstreamer1.0-plugins-base:amd64	1.28.2-1	amd64
gtk-update-icon-cache	4.22.2+ds-1ubuntu1	amd64
gtk2-engines-pixbuf:amd64	2.24.33-10	amd64
gzip	1.14-1~exp2ubuntu1	amd64
hicolor-icon-theme	0.18-2build1	all
hostname	3.25build1	amd64
htop	3.4.1-5build2	amd64
hwctl	0.11.0-0ubuntu1	amd64
hwdata	0.394-1build1	all
ibus-gtk3:amd64	1.5.34~rc2-1	amd64
ibus-gtk4:amd64	1.5.34~rc2-1	amd64
ieee-data	20240722build1	all
init-system-helpers	1.69	all
initramfs-tools-bin	0.151ubuntu1	amd64
initramfs-tools-core	0.151ubuntu1	all
input-utils	1.3-3	amd64
inputattach	1:1.8.1-2build2	amd64
intel-microcode	3.20260210.1ubuntu2	amd64
iproute2	6.19.0-1ubuntu1	amd64
iso-codes	4.20.1-1	all
iucode-tool	2.3.1-3build2	amd64
joystick	1:1.8.1-2build2	amd64
jq	1.8.1-4ubuntu2	amd64
jstest-gtk	0.1.1~git20250403.92bdf8e-1	amd64
kbd	2.7.1-2ubuntu2	amd64
kdump-tools	1:1.10.7ubuntu3	amd64
kexec-tools	1:2.0.32-3ubuntu1	amd64
keyboard-configuration	1.237ubuntu3	all
klibc-utils	2.0.14-1ubuntu2	amd64
kmod	34.2-2ubuntu2	amd64
kpartx	0.14.3-2ubuntu1	amd64
krb5-locales	1.22.1-2ubuntu4	all
less	668-1build1	amd64
libaa1:amd64	1.4p5-51.1build1	amd64
libaacs0:amd64	0.11.1-4build1	amd64
libacl1:amd64	2.3.2-2	amd64
libaio1t64:amd64	0.3.113-8build1	amd64
libalgorithm-diff-perl	1.201-1	all
libalgorithm-diff-xs-perl	0.04-9	amd64
libalgorithm-merge-perl	0.08-5	all
libaom3:amd64	3.13.1-2	amd64
libapparmor1:amd64	5.0.0~beta1-0ubuntu7	amd64
libappstream5:amd64	1.1.2-1	amd64
libapt-pkg7.0:amd64	3.2.0	amd64
libarchive13t64:amd64	3.8.5-1ubuntu2.1	amd64
libaribb24-0t64:amd64	1.0.3-3	amd64
libasan8:amd64	16-20260322-1ubuntu1	amd64
libasound2-data	1.2.15.3-1ubuntu1	all
libasound2t64:amd64	1.2.15.3-1ubuntu1	amd64
libass9:amd64	1:0.17.4-2	amd64
libassuan9:amd64	3.0.2-2build1	amd64
libasyncns0:amd64	0.8-7	amd64
libatk-bridge2.0-0t64:amd64	2.60.0-1	amd64
libatk1.0-0t64:amd64	2.60.0-1	amd64
libatkmm-1.6-1v5:amd64	2.28.4-2	amd64
libatomic1:amd64	16-20260322-1ubuntu1	amd64
libatopology2t64:amd64	1.2.15.3-1ubuntu1	amd64
libatspi2.0-0t64:amd64	2.60.0-1	amd64
libattr1:amd64	1:2.5.2-4	amd64
libaudit-common	1:4.1.2-1build1	all
libaudit1:amd64	1:4.1.2-1build1	amd64
libauthen-sasl-perl	2.2000-1	all
libavahi-client3:amd64	0.8-18ubuntu1.1	amd64
libavahi-common-data:amd64	0.8-18ubuntu1.1	amd64
libavahi-common3:amd64	0.8-18ubuntu1.1	amd64
libavc1394-0:amd64	0.5.4-5build4	amd64
libavcodec62:amd64	7:8.0.1-3ubuntu2	amd64
libavdevice62:amd64	7:8.0.1-3ubuntu2	amd64
libavfilter11:amd64	7:8.0.1-3ubuntu2	amd64
libavformat62:amd64	7:8.0.1-3ubuntu2	amd64
libavutil60:amd64	7:8.0.1-3ubuntu2	amd64
libayatana-ido3-0.4-0:amd64	0.10.4-1build1	amd64
